STATE_ABBR,COUNTY,TOTAL_POPULATION,POP_ONE_RACE,WHITE,BLACK,AMARICAN_INDIAN,ASIAN,HAWAIIAN,OTHER
PA,Dauphin County,286401,264899,180980,50868,799,17277,109,14866
PA,Delaware County,576830,546811,367718,129242,1092,36457,153,12149
PA,Elk County,30990,29880,29555,80,22,113,12,98
PA,Erie County,270876,254881,222731,20584,477,6380,60,4649
PA,Fayette County,128804,123073,115811,5789,213,383,161,716
PA,Forest County,6973,6842,5296,1237,9,19,0,281
PA,Franklin County,155932,146999,134524,5338,488,1442,52,5155
PA,Fulton County,14556,14024,13767,128,31,41,3,54
PA,Greene County,35954,34563,33027,1083,77,120,6,250
PA,Huntingdon County,44092,42724,39624,2271,56,210,17,546
PA,Indiana County,83246,80279,76277,2494,143,817,13,535
PA,Jefferson County,44492,42901,42470,131,45,100,8,147
PA,Juniata County,23509,22771,22084,133,24,69,8,453
PA,Lackawanna County,215896,203153,179038,8350,570,6826,35,8334
PA,Lancaster County,552984,518045,452646,22394,1322,14147,169,27367
PA,Lawrence County,86070,81052,76303,3664,103,323,7,652
PA,Lebanon County,143257,133674,118410,3233,270,2234,82,9445
PA,Lehigh County,374557,336871,244505,27589,1487,13941,150,49199
PA,Luzerne County,325594,303542,257042,16226,888,4070,109,25207
PA,Lycoming County,114188,108454,100428,5835,221,933,31,1006
PA,McKean County,40432,38627,37273,867,110,199,2,176
PA,Mercer County,110652,105431,97516,6389,144,687,24,671
PA,Mifflin County,46143,44610,43644,388,59,169,2,348
PA,Monroe County,168327,152227,110959,24894,680,4080,74,11540
PA,Montgomery County,856553,804038,627566,81786,1904,68032,205,24545
PA,Montour County,18136,17429,16248,331,37,668,1,144
PA,Northampton County,312951,287352,238475,19442,855,10041,114,18425
PA,Northumberland County,91647,87897,82821,2579,169,457,24,1847
PA,Perry County,45842,44005,43173,302,50,146,4,330
PA,Philadelphia County,1603797,1492897,582636,630462,6212,133553,932,139102
PA,Pike County,58535,53491,47203,3285,208,855,17,1923
PA,Potter County,16396,15833,15608,43,25,74,0,83
PA,Schuylkill County,143049,137385,128205,4394,248,761,30,3747
PA,Snyder County,39736,38541,37328,539,50,299,12,313
